codeSubstance;denominationSubstance;natureComposant;;;
33803;CHLORHYDRATE DE DONÉPÉZIL;SA;;;
95609;LÉVÉTIRACÉTAM;SA;;;
981;ACIDE URSODÉOXYCHOLIQUE;SA;;;
91877;CAPÉCITABINE;SA;;;
85821;LÉVOSIMENDAN;SA;;;
763;CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
8541;ANTIMONIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
92419;PHOLCODINE MONOHYDRATÉE;SA;;;
731;ALMITRINE (MÉSILATE D');SA;;;
5407;CHLORHYDRATE DE MÉTHYLPHÉNIDATE;SA;;;
50681;DARATUMUMAB ;SA;;;
33474;LATANOPROST;SA;;;
1257;DICHLORHYDRATE DE BÉTAHISTINE;SA;;;
11532;RAMIPRIL;SA;;;
6580;GRINDELIA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
9312;ACONITUM NAPELLUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
17778;ARUM TRIPHYLLUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
21562;RUMEX CRISPUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
28951;SPONGIA TOSTA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
91291;DROSERA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
3048;SODIUM (PHÉNYLBUTYRATE DE);SA;;;
4813;GLUCONATE DE COBALT;SA;;;
51332;COBALT;ST;;;
69916;PÉRINDOPRIL ARGININE;SA;;;
141;DACARBAZINE;SA;;;
769;DIOSMINE;SA;;;
40435;CHLORHYDRATE DE TIAGABINE MONOHYDRATÉ;SA;;;
83209;TIAGABINE ANHYDRE;ST;;;
35487;OLAPARIB;SA;;;
2742;LYMÉCYCLINE;SA;;;
10171;SIMVASTATINE;SA;;;
73242;ÉZÉTIMIBE;SA;;;
72313;ARTERE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
33609;FRACTION FLAVONOÏQUE PURIFIÉE MICRONISÉE;SA;;;
28886;BROMHYDRATE DE GALANTAMINE;SA;;;
32833;GALANTAMINE;ST;;;
7958;CHLORHYDRATE DE CÉLIPROLOL;SA;;;
38524;PANTOPRAZOLE;ST;;;
67373;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;SA;;;
952;KETOTIFÈNE (FUMARATE DE);SA;;;
15401;KETOTIFÈNE BASE;ST;;;
78924;OXALATE D'ESCITALOPRAM;SA;;;
89971;ESCITALOPRAM;ST;;;
46403;MILNACIPRAN;ST;;;
75210;CHLORHYDRATE DE MILNACIPRAN;SA;;;
70638;NITISINONE;SA;;;
80102;MONTÉLUKAST;ST;;;
86162;MONTÉLUKAST SODIQUE;SA;;;
706;CLOTRIMAZOLE;SA;;;
29076;MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA ;SA;;;
28847;DARUNAVIR;ST;;;
34781;DARUNAVIR PROPYLÈNE GLYCOLATE;SA;;;
1786;BÊTA-ESTRADIOL;ST;;;
71064;BÊTA-ESTRADIOL HÉMIHYDRATÉ;SA;;;
2143;THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
18851;CHLORHYDRATE DE MITOXANTRONE;SA;;;
50405;MITOXANTRONE BASE;ST;;;
2423;NAFTAZONE;SA;;;
37849;DICHLORHYDRATE DE LÉVOCÉTIRIZINE;SA;;;
70320;DONÉPÉZIL BASE;ST;;;
2092;IBUPROFÈNE;SA;;;
24140;PRASTÉRONE;SA;;;
24519;PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE);SA;;;
15614;PROTÉINES PLASMATIQUES HUMAINES ;SA;;;
1802;CHLORHYDRATE D'ÉTHAMBUTOL;SA;;;
663;DIOXYDE DE TITANE;SA;;;
930;PEROXYDE DE ZINC;SA;;;
20256;CHLORHYDRATE DE VENLAFAXINE;SA;;;
26322;VENLAFAXINE;ST;;;
1901;CITRATE DE FENTANYL;SA;;;
17477;FENTANYL;ST;;;
15075;ASCLEPIAS TUBEROSA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
7436;FUMARATE DE BISOPROLOL;SA;;;
196;LÉVONORGESTREL;SA;;;
38607;QUÉTIAPINE (HÉMIFUMARATE DE);SA;;;
59691;QUÉTIAPINE;ST;;;
2640;MÉSALAZINE;SA;;;
21962;COMPLEXE D'HYDROXYDE FERRIQUE - SACCHAROSE;SA;;;
34855;FER;ST;;;
3193;MALÉATE DE CHLORPHÉNAMINE;SA;;;
17563;ACÉTATE DE GLATIRAMÈRE;SA;;;
51856;GLATIRAMÈRE;ST;;;
2345;MÉTHOTREXATE;SA;;;
57854;LAPIS ALBUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
17723;OLANZAPINE;SA;;;
69518;CHLORHYDRATE DE GLUCAGON ;SA;;;
99868;GLUCAGON HUMAIN BIOGÉNÉTIQUE;ST;;;
95484;AMBRISENTAN;SA;;;
332;PODOPHYLLUM PELTATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
893;PLANTAGO MAJOR POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
96544;CHAMOMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
47903;AFLIBERCEPT ;SA;;;
3885;LÉVODOPA;SA;;;
4090;CARBIDOPA ANHYDRE;ST;;;
11448;CARBIDOPA MONOHYDRATÉE;SA;;;
6197;TRIPTORÉLINE;ST;;;
48674;PAMOATE DE TRIPTORÉLINE;SA;;;
35876;CHLORHYDRATE DE ROPINIROLE;SA;;;
62155;ROPINIROLE;ST;;;
70833;TRANDOLAPRIL;SA;;;
2045;HEXÉTIDINE;SA;;;
1;CHLORHYDRATE DE LOPÉRAMIDE;SA;;;
76119;LOPÉRAMIDE BASE;ST;;;
39196;FOSINOPRIL SODIQUE;SA;;;
38315;ALFA-AMYLASE ;SA;;;
73208;PRAVASTATINE SODIQUE;SA;;;
614;CLOBÉTASOL (PROPIONATE DE);SA;;;
5248;AMOXICILLINE ANHYDRE;ST;;;
28165;AMOXICILLINE TRIHYDRATÉE;SA;;;
29442;CLAVULANATE DE POTASSIUM;SA;;;
93286;CLAVULANIQUE (ACIDE);ST;;;
22466;BÉTAXOLOL (CHLORHYDRATE DE);SA;;;
36349;BÉTAXOLOL BASE;ST;;;
52080;HEKLA LAVA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5248;AMOXICILLINE;ST;;;
65703;QUERCUS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
38741;CHLORHYDRATE DE ROPIVACAÏNE MONOHYDRATÉ;SA;;;
83934;CHLORHYDRATE DE ROPIVACAÏNE;ST;;;
80439;MOROCTOCOG ALFA ;SA;;;
1807;ÉTHINYLESTRADIOL;SA;;;
18867;DROSPIRÉNONE;SA;;;
31416;IRBÉSARTAN;SA;;;
688;ACIDE LACTIQUE;SA;;;
690;ACIDE SALICYLIQUE;SA;;;
4204;CHARBON ACTIVÉ;SA;;;
5087;CHLORHYDRATE D'OXYCODONE;SA;;;
46704;OXYCODONE;ST;;;
32925;CHLORHYDRATE DE TERBINAFINE;SA;;;
72481;TERBINAFINE;ST;;;
21053;CAPTOPRIL;SA;;;
915;DILTIAZEM (CHLORHYDRATE DE);SA;;;
6825;MUPIROCINE;SA;;;
4401;EAU POUR PRÉPARATIONS INJECTABLES;SA;;;
3984;CHLORHYDRATE DE PYRIDOXINE;SA;;;
20879;LACTATE DE MAGNÉSIUM DIHYDRATÉ;SA;;;
94881;MAGNÉSIUM;ST;;;
25715;ACICLOVIR;SA;;;
93657;RACÉCADOTRIL;SA;;;
9012;MEDULOSS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
3682;MALÉATE D'ÉNALAPRIL;SA;;;
92464;ATORVASTATINE CALCIQUE TRIHYDRATÉE;SA;;;
47950;PROGESTERONUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
71861;GLIMÉPIRIDE;SA;;;
819;INDAPAMIDE;SA;;;
3613;PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2171;PREDNISONE;SA;;;
199;PINAVÉRIUM (BROMURE DE);SA;;;
3082;ESTROGÈNES CONJUGUÉS ;SA;;;
23014;BAZÉDOXIFÈNE;ST;;;
46448;ACÉTATE DE BAZÉDOXIFÈNE;SA;;;
1097;ALLOPURINOL;SA;;;
20915;IRINOTÉCAN (CHLORHYDRATE D') TRIHYDRATÉ;SA;;;
73952;IRINOTÉCAN;ST;;;
84273;AMYLIUM NITROSUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
73594;CANDÉSARTAN CILEXÉTIL;SA;;;
87487;DÉFÉRASIROX;SA;;;
55721;CARBONATE DE SÉVÉLAMER;SA;;;
32743;FINASTÉRIDE;SA;;;
2134;HEPAR SULFUR POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2134;HEPAR SULFURIS CALCAREUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
823;KÉTOPROFÈNE;SA;;;
27179;EPTIFIBATIDE;SA;;;
9586;TERT-BUTYLAMINE DE PÉRINDOPRIL;SA;;;
52920;HYDROGÉNOSULFATE DE CLOPIDOGREL;SA;;;
54693;CLOPIDOGREL;ST;;;
50159;URÉE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5760;TARTRATE DE CYAMÉMAZINE;SA;;;
8846;CYAMÉMAZINE;ST;;;
1397;BELLADONA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
9029;PETROLEUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
11843;ZINCUM VALERIANICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
24551;VINCA MINOR POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
32050;SUCCINATE DE SOLIFÉNACINE;SA;;;
72550;SOLIFÉNACINE;ST;;;
2969;DIMÉTICONE;SA;;;
4309;GUAÏAZULÈNE;SA;;;
30613;FUMARATE DE FORMOTÉROL DIHYDRATÉ;SA;;;
19514;HYDROGÈNE (PEROXYDE D'), SOLUTION DE, À 3 POUR CENT;SA;;;
129;BENJOIN DU LAOS, DIT DU SIAM;SA;;;
234;HAMAMÉLIS DE VIRGINIE (EXTRAIT D') (FLUIDE);SA;;;
5434;ICHTYOLAMMONIUM;SA;;;
3339;OXALATE ACIDE DE NAFTIDROFURYL;SA;;;
48528;LOSARTAN POTASSIQUE;SA;;;
20740;SITAGLIPTINE;ST;;;
21050;PHOSPHATE DE SITAGLIPTINE MONOHYDRATÉ;SA;;;
83934;CHLORHYDRATE DE ROPIVACAÏNE;SA;;;
532;GLYCÉROL;SA;;;
58134;RANUNCULUS SCELERATUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
9122;ZIDOVUDINE;SA;;;
3229;BROMHYDRATE DE DEXTROMÉTHORPHANE;SA;;;
66494;CHLORHYDRATE DE TAMSULOSINE;SA;;;
81904;BIMATOPROST;SA;;;
8960;GOSSYPIUM HERBACEUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
25681;LACOSAMIDE;SA;;;
47372;CASPOFUNGINE BASE;ST;;;
78279;ACÉTATE DE CASPOFUNGINE ;SA;;;
89276;FÉBUXOSTAT;SA;;;
2064;HYDROCHLOROTHIAZIDE;SA;;;
27387;CHLORHYDRATE D'ERLOTINIB;SA;;;
56421;ERLOTINIB;ST;;;
85873;PLÉRIXAFOR;SA;;;
38263;CARBONATE DE LANTHANE HYDRATÉ;SA;;;
76541;LANTHANE;ST;;;
4278;CHLORHYDRATE D'ÉPHÉDRINE;SA;;;
62468;PHÉNYLBUTYRATE DE GLYCÉROL;SA;;;
876;FOSFOMYCINE SODIQUE;SA;;;
78578;FOSFOMYCINE;ST;;;
27775;RILPIVIRINE;SA;;;
527;GLICLAZIDE;SA;;;
49207;CHLORHYDRATE DE MÉMANTINE;SA;;;
72074;MÉMANTINE;ST;;;
21139;MYRRHA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2754;OFLOXACINE;SA;;;
1068;ACIDE TRANEXAMIQUE;SA;;;
17091;VIRUS DE L'HÉPATITE A SOUCHE HM175 INACTIVÉ ADSORBÉ ;SA;;;
1261;BÉTAMÉTHASONE;ST;;;
4509;BÉTAMETHASONE (PHOSPHATE DE) ET DE DISODIUM;SA;;;
52951;ALPHA-1 ANTITRYPSINE HUMAINE ;SA;;;
55485;RÉPAGLINIDE;SA;;;
338;DICHLORHYDRATE DE TRIMÉTAZIDINE;SA;;;
4100;CALENDULA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2709;LACTULOSE;SA;;;
713;ÉTOPOSIDE;SA;;;
42406;SERTRALINE BASE;ST;;;
97603;CHLORHYDRATE DE SERTRALINE;SA;;;
17637;BICALUTAMIDE;SA;;;
36746;CHLORHYDRATE DE LERCANIDIPINE;SA;;;
67432;ÉNALAPRIL;ST;;;
83912;LERCANIDIPINE;ST;;;
1623;KREOSOTUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
40000;SUBSTANCE DE BASE HOMÉOPATIQUE;SA;;;
37;DICLOFÉNAC SODIQUE;ST;;;
22364;DICLOFÉNAC DE DIÉTHYLAMINE;SA;;;
26713;APIS MELLIFICA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
23247;IVABRADINE;ST;;;
45847;CHLORHYDRATE D'IVABRADINE;SA;;;
18265;CHLORHYDRATE DE PAROXÉTINE HÉMIHYDRATÉ;SA;;;
51891;PAROXÉTINE BASE;ST;;;
30646;DEXKÉTOPROFÈNE;ST;;;
93236;DEXKÉTOPROFÈNE TROMÉTAMOL;SA;;;
3296;FERRUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
52275;PRUNUS SPINOSA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
55133;FERRUM SIDEREUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
53763;MANIDIPINE (DICHLORHYDRATE DE);SA;;;
55705;FLUVASTATINE SODIQUE;SA;;;
80889;FLUVASTATINE;ST;;;
16860;ÉPOÉTINE BÊTA ;SA;;;
4979;DINITRATE D'ISOSORBIDE;SA;;;
1691;DIMENHYDRINATE;SA;;;
53766;LUSPATERCEPT ;SA;;;
49189;IPRATROPIUM (BROMURE D') MONOHYDRATÉ;SA;;;
80978;BROMURE D'IPRATROPIUM ANHYDRE;ST;;;
77;NITRATE DE PILOCARPINE;SA;;;
5386;CHLORHYDRATE D'AMIODARONE;SA;;;
84096;GRES ROSE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
251;HAMAMELIS VIRGINIANA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
252;HYDRASTIS CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
265;CHINA RUBRA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5487;CARDUUS MARIANUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
8612;ADRENALINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
28521;TRILLIUM PENDULUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
29699;SECALE CORNUTUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2751;THIOTÉPA;SA;;;
37102;BULBINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
200;MALÉATE DE TIMOLOL;SA;;;
15009;TIMOLOL;ST;;;
51796;TRAVOPROST;SA;;;
101;CHLORHYDRATE DE PROCAÏNE;SA;;;
39476;ÉPOPROSTÉNOL;ST;;;
92529;ÉPOPROSTÉNOL SODIQUE;SA;;;
2487;TARTRATE DE NORADRÉNALINE;SA;;;
56635;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE;ST;;;
4028;CITRATE D'ALVÉRINE;SA;;;
10394;SIMÉTICONE;SA;;;
899;BICARBONATE DE SODIUM;SA;;;
24513;NADROPARINE CALCIQUE ;SA;;;
69020;MERCAPTOACÉTYLTRIGLYCINE;SA;;;
5562;SODIUM (VALPROATE DE);SA;;;
45263;ISAVUCONAZOLE;ST;;;
97324;SULFATE D'ISAVUCONAZONIUM;SA;;;
28784;SAQUINAVIR;ST;;;
94741;SAQUINAVIR (MÉSILATE DE);SA;;;
75145;GÉLATINE FLUIDE MODIFIÉE ;SA;;;
79562;LORMÉTAZÉPAM;SA;;;
1958;FUROSÉMIDE;SA;;;
5033;BENZATHINE BENZYLPÉNICILLINE;SA;;;
81;PIPOBROMAN;SA;;;
5248;AMOXICILLINE BASE;ST;;;
37430;RISPÉRIDONE;SA;;;
11279;FLUCONAZOLE;SA;;;
65853;AVÉLUMAB ;SA;;;
55910;ROTIGOTINE;SA;;;
60189;ÉPOÉTINE ZÊTA ;SA;;;
267;VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
3147;ASA FOETIDA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4119;AVENA SATIVA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
6960;IGNATIA AMARA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
7823;CICUTA VIROSA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
7901;HYOSCYAMUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
10212;STAPHYSAGRIA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
12019;SUMBULUS MOSCHATUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
51827;BILASTINE;ST;;;
57000;BILASTINE MONOHYDRATÉE;SA;;;
64818;RASAGILINE;ST;;;
79968;TARTRATE DE RASAGILINE;SA;;;
21888;CHLORHYDRATE DE BUPRÉNORPHINE;SA;;;
54459;BUPRÉNORPHINE;ST;;;
38434;BÉLIMUMAB ;SA;;;
467;CODÉINE;SA;;;
521;GAÏACOL;SA;;;
2678;CHLORHYDRATE DE DIPHÉNHYDRAMINE;SA;;;
39306;EXÉMESTANE;SA;;;
64258;MEDULLINE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
6;ASPARTIQUE (ACIDE);SA;;;
31;ALANINE;SA;;;
432;GLUCONATE DE CALCIUM;SA;;;
477;CYSTÉINE;SA;;;
544;HISTIDINE;SA;;;
550;ISOLEUCINE;SA;;;
555;LEUCINE;SA;;;
563;LYSINE;ST;;;
610;PHÉNYLALANINE;SA;;;
629;SÉRINE;SA;;;
658;THRÉONINE;SA;;;
675;VALINE;SA;;;
1021;GLYCINE;SA;;;
1044;ACIDE GLUTAMIQUE;SA;;;
1178;ARGININE;SA;;;
1603;TAURINE;SA;;;
2666;MÉTHIONINE;SA;;;
3482;PROLINE;SA;;;
3605;TYROSINE;SA;;;
7301;LYSINE MONOHYDRATÉE;SA;;;
11506;TRYPTOPHANE;SA;;;
12155;PHOSPHATE DIPOTASSIQUE;SA;;;
20879;MAGNÉSIUM (LACTATE DE) DIHYDRATÉ;SA;;;
22650;PHOSPHATE MONOPOTASSIQUE;SA;;;
9182;ZUCLOPENTHIXOL (DICHLORHYDRATE DE);SA;;;
91930;ZUCLOPENTHIXOL;ST;;;
428;CARBONATE DE CALCIUM;SA;;;
72723;CALCIUM ÉLÉMENT;ST;;;
85054;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;SA;;;
382;LÉVOTHYROXINE SODIQUE;SA;;;
52118;LÉVOTHYROXINE SODIQUE ANHYDRE;ST;;;
1200;AZATHIOPRINE;SA;;;
935;JOSAMYCINE (PROPIONATE DE);SA;;;
941;JOSAMYCINE BASE;ST;;;
78950;IBERIS AMARA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
7238;MISOPROSTOL;SA;;;
8910;CROCUS SATIVUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
21070;GUAIACUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
77470;BUROSUMAB ;SA;;;
91087;VIRUS DE LA VACCINE VIVANT MODIFIÉ, SOUCHE ANKARA-BAVARIAN NORDIC (MVA-BN) ;SA;;;
53745;ALBUTRÉPÉNONACOG ALFA ;SA;;;
21799;OSCILLOCOCCINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2500;MERCURIUS DULCIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
82582;KALIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5113;SULFATE DE VINCRISTINE;SA;;;
428;CALCIUM (CARBONATE DE);SA;;;
55410;FELBAMATE;SA;;;
94553;ÉVÉROLIMUS;SA;;;
2361;MÉTHYLPREDNISOLONE;SA;;;
53028;CISATRACURIUM;ST;;;
62835;BÉSILATE DE CISATRACURIUM;SA;;;
20394;MINOXIDIL;SA;;;
3044;CARBOCISTÉINE;SA;;;
27713;PITOLISANT;ST;;;
85257;CHLORHYDRATE DE PITOLISANT;SA;;;
126;CITRATE DE TAMOXIFÈNE;SA;;;
35166;TAMOXIFÈNE BASE;ST;;;
50252;BRASSICA OLERACEA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4415;HYDROXYDE DE MAGNÉSIUM;SA;;;
2074;HYDROXOCOBALAMINE;SA;;;
7289;CICLÉTANINE (CHLORHYDRATE DE);SA;;;
30925;CEFTRIAXONE SODIQUE;SA;;;
35232;CEFTRIAXONE BASE;ST;;;
39005;ÉTHANOLATE DE DARUNAVIR;SA;;;
2114;CÉFIXIME TRIHYDRATÉE;SA;;;
33617;CÉFIXIME ANHYDRE;ST;;;
166;SOUFRE PRÉCIPITÉ;SA;;;
622;RÉTINOL;ST;;;
4168;LEVURE;SA;;;
4326;CYSTINE;SA;;;
4548;VITAMINE A (ACÉTATE DE);SA;;;
1778;ESTRIOL;SA;;;
27380;DÉSOGESTREL;SA;;;
40030;GLYCÉROPHOSPHATE ACIDE DE MAGNÉSIUM;SA;;;
44723;IXÉKIZUMAB ;SA;;;
20052;TOXINE BOTULINIQUE TYPE A ;SA;;;
5331;BENZYLPÉNICILLINE SODIQUE;SA;;;
