CodeCIS;VoiesAdministration
65378663;cutanée
65386717;cutanée
61318416;cutanée
67853176;cutanée
60787542;cutanée
61329220;cutanée
69724251;orale
64565845;orale
67368301;orale
68492540;orale
66916232;cutanée
60578560;orale
64651319;orale
63058682;cutanée
66328396;intraveineuse
60639892;orale
65028022;orale
66086808;orale
63131269;orale
66014762;orale
60622868;orale
68708881;cutanée
69139600;cutanée
62237910;orale
65407702;orale
63124011;orale
60795400;orale
68758126;orale
64661847;orale
62626139;orale
60153239;intraveineuse
61073504;cutanée
63279823;cutanée
62676633;orale
69706972;orale
61926913;orale
62765886;orale
66470506;orale
69024085;intraveineuse
61609749;orale
69898857;orale
66620532;orale
64848430;orale
63622510;orale
69490193;orale
67346714;orale
60513032;orale
62607587;orale
63143652;orale
65716467;cutanée
67638519;cutanée
63517694;orale
69418436;orale
67008933;orale
64164507;orale
63427414;orale
61558297;orale
69550690;orale
61005065;orale
67509104;orale
63791631;orale
66638701;orale
69548668;orale
65291272;orale
67351394;orale
66804443;orale
65322262;orale
62981414;orale
67524202;orale
65712593;rectale
67713231;intraveineuse
67323808;intraveineuse
63446165;orale
65014058;orale
66725120;orale
68262525;orale
68708664;intraveineuse
63877443;orale
60596010;ophtalmique
69456091;ophtalmique
67111171;ophtalmique
67399275;ophtalmique
68576006;nasale
60881995;cutanée
67339449;orale
62398493;cutanée
68928322;cutanée
62043268;cutanée
64257445;cutanée
62138435;cutanée
62139989;orale
68320252;orale
62674422;orale
67794532;orale
63056731;orale
66603383;orale
69354407;orale
69235513;orale
67353961;orale
61473085;orale
68810441;orale
67728742;orale
60208251;orale
66363543;orale
65670322;orale
62194918;orale
63278098;orale
60120709;orale
63215258;orale
61664126;orale
63026574;orale
66000321;orale
62311307;orale
61461179;orale
64308320;orale
61060033;orale
68822550;orale
65936584;orale
64659230;cutanée
69497348;intramusculaire
68107966;orale
63564808;orale
64165648;orale
64099244;orale
65724460;orale
66908367;orale
68877714;orale
68878773;orale
65959736;orale
65840148;orale
63830956;cutanée
65572846;voie buccale autre
63211078;cutanée
61382116;orale
60671712;cutanée
60511177;intralésionnelle
60880110;nasale
62725176;cutanée
69301899;cutanée
62744504;cutanée
60994733;cutanée
69250554;cutanée
65068102;cutanée
61794949;intraveineuse
68346293;vaginale
66862795;dentaire
69602201;dentaire
68451230;ophtalmique
61567727;orale
65317895;orale
64275767;orale
63372551;orale
66925605;orale
68808515;orale
61736700;orale
65589692;orale
61346771;orale
65868763;orale
68461089;orale
65585384;orale
62642061;orale
65515119;orale
64189720;orale
68318486;orale
66184743;orale
66829489;orale
63113171;orale
68425029;orale
67446077;orale
61200859;orale
60377803;orale
63143645;orale
67904496;orale
65991463;orale
67886475;orale
69537839;orale
68403965;orale
68071018;intraveineuse
64832013;intraveineuse
64611260;intraveineuse
60256036;intraveineuse
66430312;intraveineuse
65806466;intraveineuse
61133823;intraveineuse
62597926;orale
67581317;orale
64220863;orale
63791663;orale
61048216;orale
67169242;orale
66793356;orale
67859663;cutanée
66792069;intra-articulaire
66882748;cutanée
65126502;cutanée
63896504;orale
66949061;orale
62626993;orale
61066196;orale
60648770;orale
60182237;orale
66052179;inhalée
63599556;inhalée
64586704;intraveineuse
61975465;cutanée
60275467;cutanée
63286611;sous-cutanée
67749124;intradermique
68016452;sous-cutanée
65672298;sous-cutanée
66509845;sous-cutanée
63933319;sous-cutanée
64801466;orale
64130608;sublinguale
69506459;orale
65988645;orale
65035230;orale
68887103;orale
65964911;intraveineuse
63281856;cutanée
66983925;cutanée
66212783;orale
67494588;orale
68721786;orale
65235590;orale
66597770;orale
62848645;orale
61398654;orale
60085553;orale
64414291;orale
64673002;orale
68371574;orale
67385902;cutanée
62129781;orale
61380528;orale
68049089;orale
69883296;orale
61494243;orale
61243903;orale
69410884;orale
66073305;orale
69585360;orale
61119492;orale
68809994;orale
62684893;intra-artérielle
64836218;intra-artérielle
68915556;intravésicale
65407798;sous-cutanée
66906448;sous-cutanée
67080391;sous-cutanée
67126682;intraveineuse
61710470;intraveineuse
67642154;intraveineuse
62516778;intramusculaire
62048906;intramusculaire
62000612;intramusculaire
68502148;intramusculaire
68045361;orale
66286011;intraveineuse
61786735;intraveineuse
66067708;intraveineuse
69586398;intraveineuse
67972077;intraveineuse
62947013;intraveineuse
63183821;intraveineuse
64743130;intraveineuse
61960303;intraveineuse
69667989;intraveineuse
69364999;orale
60514006;orale
61270633;orale
67745624;orale
65865831;orale
64820751;orale
62603432;orale
60177044;orale
60932824;orale
60441622;orale
62703614;orale
63527336;ophtalmique
63479902;orale
62440939;orale
67740449;orale
67781613;orale
60726849;orale
69802682;orale
65708666;orale
66153235;orale
62968840;orale
63724643;orale
68135556;orale
67396934;orale
66567617;orale
65839434;orale
60710275;orale
65315136;orale
60517664;orale
61782861;orale
66105226;orale
61591023;orale
62158911;orale
61484459;orale
63490375;orale
67781741;orale
60600156;orale
62932591;orale
64479008;orale
68777767;orale
69622809;orale
62042102;orale
62514791;orale
66340498;orale
68546034;orale
66320225;orale
68158195;orale
65728601;orale
61351252;orale
66101135;orale
64891741;orale
69735867;orale
69923011;orale
63811710;orale
62834784;orale
68688222;orale
68329212;orale
63436445;orale
62204255;orale
68096904;orale
65681660;orale
65556347;orale
65157330;orale
69066650;orale
68653367;orale
63657486;orale
65254879;orale
62920265;orale
69586423;orale
68500357;orale
63566442;orale
60352006;orale
63723107;orale
68806628;orale
60478097;orale
64535318;orale
69473009;orale
64727471;orale
61556563;orale
64389621;orale
68278216;orale
61740296;orale
63303822;orale
63133028;orale
61074385;orale
64930906;orale
64065904;orale
69786534;orale
61007874;orale
60037380;orale
62126664;orale
60656799;orale
66160525;orale
62641835;orale
65265651;orale
67818129;orale
62302938;orale
68083942;orale
64248026;orale
65884618;orale
66171532;orale
66024831;orale
64957465;orale
68307397;orale
66593028;orale
63621013;orale
61939921;orale
63458349;orale
69501782;orale
67737264;cutanée
63717410;orale
61128922;orale
60052254;orale
63052416;cutanée
66441013;cutanée
66064765;cutanée
65384417;cutanée
69578234;cutanée
61558532;cutanée
61794842;orale
67236577;orale
69335086;orale
69057548;orale
68805138;cutanée
69373521;cutanée
65413922;cutanée
63976352;cutanée
60952951;cutanée
63496175;cutanée
69991083;cutanée
63167404;cutanée
69023631;cutanée
67034369;cutanée
69244163;cutanée
69520003;cutanée
62534712;cutanée
66292968;cutanée
69756142;cutanée
65816567;cutanée
65541548;orale
64550843;orale
69266996;orale
69776892;orale
69033903;orale
61883604;intraveineuse
61634827;orale
67222296;orale
63398425;orale
61462480;orale
60151544;orale
64338986;orale
64882258;orale
61771313;orale
66773446;orale
66082724;orale
65857681;orale
69166540;orale
66916798;orale
66511789;orale
67385172;orale
60366319;orale
60375058;orale
69118175;orale
60453197;orale
69489433;orale
64011803;orale
62457618;orale
69733268;orale
67989653;orale
67489979;orale
63415757;orale
62846562;orale
68289554;orale
68116292;orale
64529639;orale
62918531;orale
68607010;orale
65253528;orale
60101406;orale
64395599;orale
64470824;orale
66918105;intramusculaire
69915160;intramusculaire
69416855;intraveineuse
68021727;intramusculaire
64672103;orale
65183581;orale
64516894;orale
67410088;orale
69857586;orale
68088430;orale
66046272;orale
64236198;orale
66748343;orale
65158724;orale
61850771;orale
65902977;orale
67406937;orale
64489810;orale
64921693;orale
60424338;orale
67131754;orale
66628041;orale
65843571;orale
61690110;orale
61096912;orale
68881399;orale
67587238;orale
66626147;orale
63769738;orale
61633586;orale
64727464;orale
60685523;orale
60099738;orale
64636573;orale
69256767;orale
64176281;orale
61817344;orale
67835655;orale
66921126;orale
65247087;orale
68204269;orale
62027883;orale
60403714;orale
62820980;orale
66156950;orale
63435592;orale
61777273;orale
64725100;orale
64882703;orale
62705095;orale
62826481;orale
64999959;intraveineuse
69493182;intraveineuse
64473140;intraveineuse
61119706;intraveineuse
65786907;orale
62096413;intraveineuse
63327759;intraveineuse
65324007;intraveineuse
63750773;orale
63524692;orale
69021160;orale
64460520;orale
61246828;orale
62949384;orale
69715252;orale
61043151;orale
60851920;intraveineuse
60998361;orale
68399919;intraveineuse
60196176;orale
68144249;orale
67744718;intraveineuse
61103310;intraveineuse
66929913;orale
69661228;orale
63771664;orale
68229297;orale
60556852;orale
63223995;orale
68380281;orale
60516765;orale
61198803;orale
60928772;orale
61144524;orale
63727269;cutanée
66674188;orale
68936600;orale
61392249;intramusculaire
65378446;intramusculaire
68496001;intramusculaire
67581349;intraveineuse
66146931;sous-cutanée
61649487;cutanée
61189366;cutanée
65374679;cutanée
61896498;cutanée
67886607;cutanée
61380695;cutanée
60121234;cutanée
66324412;cutanée
66166122;voie buccale autre
65179483;voie buccale autre
64248962;cutanée
64726978;cutanée
69015613;cutanée
61213155;orale
69273510;orale
69235342;orale
69281119;intramusculaire
61426025;orale
68758507;cutanée
66902204;cutanée
60922716;orale
65465716;orale
62015062;orale
66563558;orale
68554636;orale
60569173;orale
62051172;orale
67098208;orale
69060099;orale
67541333;orale
61545645;cutanée
62031508;intramusculaire
62538162;intramusculaire
66223317;intramusculaire
60002283;orale
69997905;orale
68434537;orale
67354892;orale
67271293;orale
60968852;orale
63568984;orale
63213613;orale
64133700;orale
67160962;orale
65664198;orale
68900650;orale
62689972;orale
61355076;orale
69367995;orale
63917756;orale
60372215;orale
67250203;intraveineuse
68758674;orale
68001518;cutanée
60389531;orale
61255738;orale
68097237;transdermique
69388740;transdermique
64205548;transdermique
68178899;intramusculaire
63794766;cutanée
65522900;cutanée
61803145;cutanée
62443351;cutanée
63060231;cutanée
67172690;orale
67056159;voie buccale autre
60877502;intraveineuse
66209851;intraveineuse
68035748;sublinguale
60213914;orale
63482001;cutanée
66920800;cutanée
64009485;cutanée
67657035;inhalée
67699269;orale
61032482;orale
68266388;cutanée
69488210;orale
68082438;ophtalmique
66303681;orale
62574938;orale
69291896;orale
64684319;orale
66271479;cutanée
63755329;orale
63881961;orale
65756287;inhalée
64803677;inhalée
63206024;cutanée
64796752;cutanée
60798567;auriculaire
64520387;orale
61137191;orale
67934913;cutanée
64978527;orale
63362984;cutanée
64947930;cutanée
64926911;cutanée
63727600;sous-cutanée
63459294;cutanée
63340475;cutanée
69967680;cutanée
69200569;orale
68159315;cutanée
68819013;cutanée
65151110;orale
65548973;orale
68241755;orale
65980246;cutanée
63759295;orale
60911036;cutanée
68373461;orale
62679768;sous-cutanée
65554613;intraveineuse
64684582;sous-cutanée
68724387;cutanée
60158193;cutanée
63145087;cutanée
63585460;cutanée
68620399;cutanée
62594218;cutanée
64630264;sous-cutanée
68598209;sous-cutanée
68518405;sous-cutanée
63665248;sous-cutanée
67849644;orale
63738842;orale
67565882;orale
63439854;orale
64803271;orale
61380670;orale
65652406;orale
63703396;orale
69320173;orale
69440571;orale
66842981;orale
64021886;orale
61070180;orale
65314130;orale
66539322;orale
68399755;orale
62606108;orale
61633134;orale
64468061;orale
66503721;orale
62977049;orale
64986762;orale
65843062;orale
63669727;orale
64982194;orale
63197002;orale
65963453;orale
66592969;orale
60106862;orale
60378168;intra-camérulaire
67481345;orale
64522751;orale
64933635;orale
68530375;orale
67219072;orale
65504674;orale
60623984;cutanée
64407610;orale
63781726;ophtalmique
60727171;cutanée
60375001;intraveineuse
61517592;intrathécale
66523859;intraveineuse
69737206;intraveineuse
61643623;cutanée
60821891;cutanée
65172528;cutanée
69686815;cutanée
66207964;orale
66066271;intraveineuse
64912872;intraveineuse
62363097;sous-cutanée
64899318;intraveineuse
69627140;intraveineuse
68368699;sous-cutanée
65220720;intraveineuse
69581846;intraveineuse
68878862;intraveineuse
65634493;sous-cutanée
62710847;intraveineuse
62429565;sous-cutanée
64181047;intraveineuse
68721487;intraveineuse
67752832;sous-cutanée
65521079;intraveineuse
68759025;sous-cutanée
61405223;intraveineuse
69485666;sous-cutanée
62780055;orale
66218213;orale
65739590;orale
67526000;cutanée
64384738;orale
62531470;orale
65646086;orale
63964446;orale
65223346;orale
60720216;intraveineuse
65905051;intraveineuse
60588106;intraveineuse
67703372;intraveineuse
66225389;cutanée
63606303;cutanée
66269058;cutanée
61798292;sublinguale
64609658;cutanée
60429075;cutanée
68284849;cutanée
66117417;cutanée
60902286;orale
64946732;cutanée
67785088;orale
62885889;orale
68869347;orale
69937648;orale
69050347;orale
62650485;orale
62262995;orale
69972923;orale
65156805;inhalée
62303214;orale
69890344;orale
62292020;orale
62622105;orale
68031753;orale
68923567;orale
67723873;orale
67398390;orale
69504216;orale
67423363;orale
64746201;orale
67830373;orale
69245429;orale
63009817;orale
62653200;orale
66566892;orale
69302392;orale
69675822;orale
68439420;orale
68432874;orale
64041757;orale
67687320;orale
66013347;orale
62481238;orale
63364330;orale
63076762;orale
64877948;orale
61026419;orale
61983832;orale
66139762;orale
69380170;orale
63192279;orale
68190271;orale
68460101;orale
68478291;orale
64579108;orale
69179413;orale
62461940;orale
67846744;orale
68340917;orale
60031071;orale
60136439;orale
66181067;orale
66508679;orale
65200340;orale
60140882;orale
64807679;orale
67941085;orale
68850795;orale
65993464;orale
61100905;orale
66232519;orale
66459641;orale
66988915;orale
66950163;orale
68814685;orale
68349332;orale
65716620;cutanée
67538173;cutanée
61469681;sous-cutanée
64683217;intraveineuse
67164882;sous-cutanée
66048056;sous-cutanée
68675068;orale
67144043;orale
61105471;orale
62675093;orale
60107932;orale
69615679;orale
69812153;orale
67347175;orale
63942962;orale
68840363;orale
63353608;orale
69958368;orale
60448702;orale
61224956;orale
68710804;orale
65534169;orale
64879963;orale
61806426;intraveineuse
61142295;sublinguale
60584638;cutanée
67123693;cutanée
63971017;orale
60846994;cutanée
64961474;cutanée
62701435;cutanée
61556606;cutanée
63566022;orale
69572701;cutanée
67810075;sublinguale
67082677;cutanée
60019350;cutanée
61763124;sublinguale
61674405;orale
62757042;orale
67154087;orale
68423590;orale
69225138;orale
69233035;orale
60411052;orale
62859175;orale
69068587;inhalée
65979518;orale
64755271;intraveineuse
65847210;intraveineuse
63541065;intraveineuse
66299902;cutanée
68887975;cutanée
63969240;cutanée
68137151;cutanée
64836392;cutanée
62551836;orale
61981742;cutanée
62174933;orale
67900409;orale
61285788;intramusculaire
60379544;orale
65387616;orale
65042132;ophtalmique
62681502;orale
67848617;cutanée
68142433;cutanée
60063973;cutanée
62929218;cutanée
69735415;orale
69859092;orale
65862059;orale
62028152;orale
69865070;gingivale
62819298;dentaire
61497549;dentaire
64753847;dentaire
61940980;dentaire
60314272;intra-articulaire
67563080;voie buccale autre
69339049;épilésionnelle
60739234;orale
66877523;orale
62215522;cutanée
65497614;cutanée
65150485;cutanée
60051024;orale
67454056;cutanée
63873936;cutanée
60318954;cutanée
64598731;intraveineuse
67423712;intraveineuse
68056906;cutanée
62575926;cutanée
60619320;orale
62481715;cutanée
64866332;orale
69516026;cutanée
60077460;cutanée
63864773;cutanée
61521103;orale
60894334;orale
65239674;orale
64086827;cutanée
69337532;inhalée
60268519;inhalée
67122869;inhalée
69655937;cutanée
67568483;sous-cutanée
61162942;orale
63936571;orale
66311831;orale
68300762;intramusculaire
68852682;intramusculaire
66769394;orale
64188180;cutanée
67672247;cutanée
63953357;cutanée
65057344;cutanée
62358794;orale
61946403;orale
69029253;orale
68799614;orale
61464022;orale
64872883;orale
65265765;orale
61172160;orale
67831952;orale
69781373;orale
64647032;orale
68985138;orale
60493619;orale
68262646;orale
67413821;orale
64161190;cutanée
68494153;orale
61273686;orale
66950291;orale
62910207;orale
65969730;orale
69015780;orale
61519586;orale
61162294;orale
63604430;orale
60727278;orale
66401606;orale
66682249;orale
66008617;orale
66089188;orale
60542735;orale
67690302;orale
66397937;orale
67807225;orale
69577958;orale
62766073;orale
68349364;orale
67167309;orale
65959743;orale
62615751;orale
61907293;orale
68176656;ophtalmique
64670426;inhalée
67100189;inhalée
65632154;inhalée
69835497;intraveineuse
67713249;orale
61383702;orale
66717134;orale
64900101;orale
65634625;orale
65597002;orale
67951179;orale
64360281;orale
69104909;orale
65686159;orale
62215045;orale
64672313;orale
69807042;orale
69643237;orale
62139195;orale
69490275;orale
63815000;orale
62022861;orale
67005951;orale
64615248;orale
67206630;orale
61945162;orale
60699494;orale
66663373;orale
66702214;orale
60453083;orale
61411404;orale
68125932;orale
66456143;orale
62615406;orale
60786892;orale
62847550;orale
69377174;orale
67111196;orale
60519117;orale
64308092;orale
69942983;orale
68118158;orale
69329044;orale
62047925;orale
63974084;orale
64408331;orale
69068936;orale
67607954;orale
61676897;orale
62094280;orale
63757052;orale
65650743;orale
63450263;orale
69522513;orale
68212077;orale
65030856;orale
61727174;orale
69770448;orale
68419357;orale
67202055;orale
69329539;orale
66933705;orale
68666845;orale
68228761;orale
67737951;orale
68567217;orale
65082753;orale
69514324;orale
61041022;orale
63926641;orale
61805662;orale
65221637;orale
63591367;orale
63661449;orale
61796341;orale
61391955;orale
65742330;orale
65450664;orale
66328485;orale
65689002;orale
66292224;orale
66530729;orale
67059408;orale
64176801;orale
65149821;orale
65168323;orale
62443141;orale
68424379;orale
60265932;orale
61633579;orale
61830893;orale
68556498;orale
67762488;orale
68232578;orale
63366057;orale
69320216;orale
66595171;orale
62019370;orale
67379949;orale
66279287;orale
66331392;orale
60007437;orale
69780531;orale
63644599;orale
67008260;orale
65907376;orale
61098183;orale
62866294;orale
61482159;orale
62977177;orale
68689484;orale
64484329;orale
66351950;orale
69112699;orale
63925105;orale
65584300;orale
64572537;orale
68603720;orale
60113814;orale
69110520;orale
62864852;orale
68722475;orale
62738704;orale
62672834;intraveineuse
68712716;intraveineuse
68114697;intraveineuse
68389896;intraveineuse
67905662;intraveineuse
61955644;intraveineuse
64141049;intraveineuse
60691177;intraveineuse
69966888;intraveineuse
61078145;intraveineuse
64604981;intraveineuse
67392754;orale
66395950;orale
69769588;orale
68303281;orale
62415398;orale
65354096;orale
62159632;orale
68476867;orale
62740096;orale
62902865;orale
67466119;intraveineuse
64612088;intraveineuse
60406781;intraveineuse
66034512;intraveineuse
64005832;orale
69697199;intraveineuse
61308525;intraveineuse
66063364;intraveineuse
63667263;intraveineuse
61397901;intraveineuse
61883472;intramusculaire
66792973;intramusculaire
61001686;ophtalmique
62533756;ophtalmique
60476979;ophtalmique
69984085;ophtalmique
63358772;intramusculaire
68551234;intramusculaire
62626185;intraveineuse
67839899;intraveineuse
65395919;intraveineuse
64965070;cutanée
67838060;inhalée
69720897;inhalée
66698997;inhalée
61267669;inhalée
66871253;inhalée
65756091;nasale
63581266;nasale
62160702;orale
61535619;orale
66053338;orale
68132834;intraveineuse
66853013;orale
69978246;orale
69325964;intraveineuse
63565244;orale
65427683;cutanée
65889234;ophtalmique
61168404;cutanée
69520658;cutanée
66592652;auriculaire
61040696;auriculaire
61338956;cutanée
67491414;cutanée
68333157;cutanée
62039654;cutanée
68357215;cutanée
69823331;cutanée
64894666;cutanée
60964081;cutanée
64545091;orale
66921927;nasale
60391646;intraveineuse
62756524;intramusculaire
63777215;intramusculaire
63509053;cutanée
67587455;cutanée
67343757;orale
66793185;orale
69758976;orale
69880154;rectale
68666553;rectale
62245608;cutanée
64304286;cutanée
60051234;orale
60429851;orale
63686819;orale
64108056;orale
65346644;orale
62493653;intramusculaire
66674494;intramusculaire
69233462;cutanée
64476446;orale
65107402;orale
64380145;orale
67461944;intramusculaire
60804995;intramusculaire
67288175;intramusculaire
69890458;intraveineuse
67044107;intraveineuse
65303582;intraveineuse
64069767;orale
63189920;orale
68115906;orale
65304816;orale
63220091;orale
65953669;sous-cutanée
61842358;sous-cutanée
66041282;sous-cutanée
63510618;sous-cutanée
62925369;sous-cutanée
63918096;intramusculaire
65714530;orale
61541821;orale
66293778;orale
62840118;intramusculaire
65711858;ophtalmique
62824288;orale
63479140;orale
60211183;orale
62722988;orale
64784981;orale
68133135;orale
64350928;orale
62930042;orale
62953322;orale
62514713;orale
60514878;orale
63269291;orale
66028705;orale
62295625;orale
61765641;orale
67637794;orale
67769625;orale
68654914;orale
62293332;orale
69801139;orale
64150906;orale
