codeCIP7;libelle;prix;stockLogique;stockPhysique
5658201;100 plaquette(s) PVC-Aluminium de 1 gélule(s);1,02;520;520
3010099;30 plaquette(s) prédécoupées unitaires PVC PVDC aluminium de 1 comprimé(s);1,02;;
3010100;30 plaquette(s) prédécoupées unitaires aluminium OPA : polyamide orienté PVC-Aluminium de 1 comprimé(s);1,02;;
2794381;pilulier(s) polypropylène de 30 comprimé(s);1,02;;
2794412;3 pilulier(s) polypropylène de 30 comprimé(s);2,76;;
3202980;1 flacon(s) polyéthylène de 5  ml;1,02;;
3007651;1 tube(s) polypropylène de 10 comprimé(s);1,02;520;520
3002077;1 tube(s) aluminium de 120 g;1,02;520;520
3014251;1 tube(s) polyoléfine avec applicateur(s) à bille de 45 g;1,02;520;520
3019984;1 tube(s) alumino-plastique de 45 g;1,02;520;520
3019985;1 tube(s) alumino-plastique de 120 g;1,02;520;520
3565027;1 tube(s) aluminium de 45 g;1,02;520;520
3023853;plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 7 gélule(s);1,02;520;520
3487474;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);1,02;;
5613121;plaquette(s) thermoformée(s) PVC-Aluminium de 150 comprimé(s);1,02;520;520
3496817;plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s);1,02;;
3738338;plaquette(s) thermoformée(s) PVC aluminium de 90 comprimé(s);2,76;;
3082033;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);1,02;520;520
2165828;1 flacon(s) pressurisé(s) aluminium de 100 g;1,02;;
2688360;5 ampoule(s) en verre de 2 ml;1,02;520;520
3017344;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);1,02;;
3589884;30 sachet(s) papier polyéthylène aluminium P-A-M-éthylène (SURLYN) de 1  dispositif(s);1,02;;
3016779;1 flacon(s) compte-gouttes polyéthylène basse densité (PEBD) de 5 ml;1,02;;
2784968;plaquette(s) thermoformée(s) polypropylène aluminium de 42 comprimé(s);1,02;520;520
2784980;plaquette(s) thermoformée(s) polypropylène aluminium de 90 comprimé(s);1,02;520;520
3009265;28 sachet(s)-dose(s) papier polyéthylène basse densité (PEBD) aluminium de 8,5 mg;1,02;520;520
3648546;plaquette(s) thermoformée(s) PVC-Aluminium de 8 comprimé(s);1,02;520;520
3000753;plaquette(s) thermoformée(s) PVC PVDC aluminium de 21 comprimé(s);1,02;520;520
3682098;plaquette(s) PVC-Aluminium de 20 comprimé(s);1,02;;
3701625;plaquette(s) PVC-Aluminium de 90 comprimé(s);1,02;;
3875331;plaquette(s) PVC-Aluminium de 180 comprimé(s);1,02;;
3009863;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 90 gélule(s);1,02;;
3826491;plaquette(s) PVC-Aluminium PVDC de 90 gélule(s);1,02;;
3698604;plaquette(s) thermoformée(s) PVC-Aluminium de 16 comprimés;1,02;520;520
5651179;5 ampoule(s) en verre de 2,5  ml;1,02;520;520
3008127;plaquette(s) PVC PVDC aluminium de 4 comprimé(s);1,02;520;520
5506753;1 flacon(s) en verre de 8 ml;1,02;520;520
3399333;24 sachet(s)-dose(s) papier de 1,8  g;1,02;520;520
3004343;28 plaquette(s) pelable(s) papier polytéréphtalate (PET) aluminium PVC-Aluminium polyamide de 1 comprimé(s);1,02;;
5625845;1 flacon(s) en verre;1,02;520;520
2210871;4 seringue(s) préremplie(s) polypropylène jaune(brun) de 2 ml;1,02;;
3102586;1 ampoule(s) en verre de 1 ml;1,02;;
3841579;8 sachet(s)-dose(s) polytéréphtalate (PET) aluminium polyéthylène de 6 g;1,02;;
2228635;plaquette(s) aluminium de 18 pastille(s);1,02;520;520
3973097;1 seringue(s) préremplie(s) en verre de 0,5 ml avec aiguille(s);1,02;;
4921553;1 flacon(s) en verre brun de 150 ml avec gobelet(s) doseur(s) polypropylène;1,02;;
3101173;1 flacon(s) en verre de 10 ml;1,02;;
3016677;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 30 comprimés;1,02;;
3016678;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 90 comprimés;2,76;;
2196792;plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 comprimé(s);1,02;;
3095797;1 tube(s) aluminium de 50 g;1,02;520;520
5532687;50 tube(s) aluminium de 50 g;1,02;520;520
3412826;10 récipient(s) unidose(s) polyéthylène de 0,4  ml;1,02;520;520
3636684;30 récipient(s) unidose(s) polyéthylène de 0,4 ml;1,02;;
5645084;1 flacon(s) en verre de 10  ml;1,02;520;520
4936394;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1,02;;
3008900;1 bouteille acier ou aluminium de 5 l munie d'un robinet en laiton avec manodétendeur et raccord de sortie normalisé;1,02;520;520
5503141;1 bouteille acier ou aluminium de 15 l munie d'un robinet en laiton avec manodétendeur et raccord de sortie normalisé;1,02;520;520
3798286;plaquette(s) PVC PVDC aluminium de 50 comprimé(s);1,02;;
3092675;1 flacon(s) en verre jaune(brun) de 1 dose(s) - 1 seringue(s) préremplie(s) en verre de 0,5 ml;1,02;;
2660634;plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s);1,02;520;520
4162610;plaquette(s) PVC-Aluminium de 60 comprimé(s);1,02;;
3018096;plaquette(s) PVC-Aluminium de 100 gélule(s);1,02;520;520
2744986;120 plaquette(s) PVC polyéthylène PVDC aluminium de 1 comprimé(s);1,02;;
3002104;1 flacon(s) en verre de 5 ml;1,02;520;520
3020999;1 pot(s) de 30 g;1,02;520;520
3020391;1 flacon en verre de 200 mL avec bague d’inviolabilité avec gobelet doseur de 15 mL;1,02;;
3214279;12 flacon(s) - 12 ampoule(s) de 5  ml;1,02;520;520
3615564;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 28  comprimé(s);1,02;;
3021220;1 flacon(s) en verre de 15 ml;1,02;520;520
3438406;1 flacon(s) compte-gouttes polyéthylène de 2,5  ml;1,02;;
3438412;3 flacon(s) compte-gouttes polyéthylène de 2,5  ml;1,02;;
3833829;plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s);1,02;;
3733565;plaquette(s) aluminium de 30 comprimé(s);1,02;;
3925833;plaquette(s) aluminium de 90 comprimé(s);2,76;;
3021065;1 tube(s) de 4 g;1,02;520;520
3618255;3 plaquette(s) PVC PVDC aluminium de 10 capsule(s);1,02;;
2669291;plaquette(s) (ACLAR RX) polytrifluorochloroéthylène PVC-Aluminium de 60 comprimé(s);1,02;520;520
5628329;1 flacon(s) polyéthylène haute densité (PEHD) de 266 g avec fermeture de sécurité enfant avec cuillère-mesure;1,02;520;520
3341859;1 tube(s) polypropylène de 40 comprimé(s);1,02;520;520
4900456;pilulier(s) polypropylène de 30 comprimé(s);1,02;;
4900746;pilulier(s) polypropylène de 90 comprimé(s);2,76;;
3018146;30 plaquette(s) PVC PVDC aluminium de 1 gélule(s);1,02;;
3011821;1 flacon(s) en verre brun;1,02;520;520
3563778;plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s);1,02;520;520
3781819;plaquette(s) PVC PVDC de 30 comprimé(s);1,02;;
3781831;plaquette(s) PVC PVDC de 90 comprimé(s);2,76;;
3820442;56 plaquette(s) PVC PVDC de 1 comprimé(s);1,02;520;520
3673828;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);1,02;;
3787503;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);2,76;;
3412625;1 flacon(s) polyéthylène haute densité (PEHD) de 50 comprimé(s) avec fermeture de sécurité enfant;1,02;;
3014421;14 plaquettes aluminium de 8 comprimés (emballage multiple : 2 x 56);1,02;;
3392940;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);1,02;;
4158809;film(s) thermosoudé(s) polyéthylène aluminium de 56 gélule(s);1,02;;
5700647;évaporateur fixe acier de 100 l;1,02;520;520
3002284;84 plaquette(s) PVC-Aluminium de 1 gélule(s);1,02;;
4900316;plaquette(s) polychlortrifluoroéthylène PVC-Aluminium de 30 comprimé(s);1,02;;
4900317;plaquette(s) polychlortrifluoroéthylène PVC-Aluminium de 90 comprimé(s);2,76;;
4900055;plaquette(s) PVC-Aluminium de 60 comprimé(s);1,02;520;520
2201286;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 28 gélule(s);1,02;520;520
3897255;plaquette(s) PVC-Aluminium de 90 comprimé(s);2,76;;
3908266;plaquette(s) PVC-Aluminium de 30 comprimé(s);1,02;;
2676500;plaquette(s) aluminium de 7 comprimé(s);1,02;520;520
2676517;plaquette(s) aluminium de 14 comprimé(s);1,02;520;520
3244895;1 flacon(s) en verre de 150 ml avec fermeture de sécurité enfant avec mesurette(s) graduée(s) polypropylène;1,02;;
3007484;28 plaquette(s) PVC PVDC aluminium de 1 comprimé(s);1,02;;
3010512;flacon(s) polypropylène de 28 comprimé(s);1,02;;
3015704;plaquette(s) aluminium PVC PVDC de 56 gélule(s);1,02;;
4900194;1 pilulier(s) polypropylène de 30 comprimé(s);1,02;;
4900173;1 pilulier(s) polypropylène de 30 comprimé(s);1,02;;
3020634;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 60 gélule(s);1,02;520;520
3022727;plaquettes OPA : polyamide orienté aluminium PVC-Aluminium prédécoupées unitaires de 60 gélules;1,02;520;520
2186109;28 sachet(s)-dose(s) kraft polyéthylène basse densité (PEBD) aluminium P-A-M-éthylène (SURLYN);1,02;;
3014833;1 plaquette(s) thermoformée(s) polyamide aluminium PVC de 1 capsule(s) avec applicateur(s);1,02;520;520
3815205;1 seringue(s) préremplie(s) en verre de 0,3 ml avec aiguille(s);1,02;;
3788431;plaquette(s) PVC aluminium de 28 comprimé(s);1,02;;
3015756;1 flacon polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 60 comprimés;1,02;;
3424367;plaquette(s) PVC-Aluminium de 28 comprimé(s);1,02;;
3797499;plaquette(s) aluminium de 28 comprimé(s);1,02;;
5590348;plaquette(s) aluminium de 50 comprimé(s);1,02;520;520
5615657;1 flacon(s) en verre de 12,5 ml;1,02;520;520
3420174;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1,02;520;520
2217933;plaquette(s) PVC PVDC aluminium de 14 comprimé(s);1,02;;
2217962;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);1,02;;
4935012;plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);1,02;520;520
3835892;plaquette(s) thermoformée(s) PVC PVDC aluminium de 10 comprimé(s);1,02;520;520
3015759;plaquettes PVC polyéthylène basse densité (PEBD) de 28 ovules avec 6 applicateurs en polyéthylène basse densité (PEBD);1,02;520;520
4900057;plaquette(s) thermoformée(s) PVC-Aluminium de 180 gélule(s);1,02;;
4900058;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);1,02;;
5500309;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin A;1,02;520;520
5500310;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin AB;1,02;520;520
5500311;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin B;1,02;520;520
5500312;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin O;1,02;520;520
5507196;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin A;1,02;520;520
5507197;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin AB;1,02;520;520
5507199;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin B;1,02;520;520
5507200;10 poche(s) PVC suremballée(s)/surpochée(s) de 200 ml. Groupe sanguin O;1,02;520;520
5585577;50 ampoule(s) en verre brun de 10  ml;1,02;520;520
3012185;1 pot(s) polypropylène de 190 g;1,02;520;520
3882348;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);1,02;;
3882354;plaquette(s) PVC polyéthylène PVDC aluminium de 50 gélule(s);1,02;520;520
3018907;plaquettes PVC-Aluminium polyamide PVC de 28 comprimés;1,02;;
3003295;plaquette(s) PVC aluminium de 84 gélule(s);1,02;;
3020497;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 21 gélule(s);1,02;520;520
3529706;plaquette(s) PVC-Aluminium de 30 comprimé(s);1,02;;
3529712;plaquette(s) PVC-Aluminium de 90 comprimé(s);2,76;;
2781059;1 plaquette(s) PVC PVDC aluminium de 1 comprimé(s);1,02;;
3006450;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);1,02;;
3006452;plaquette(s) PVC PVDC aluminium de 60 comprimé(s);1,02;;
4900087;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);1,02;;
4900088;plaquette(s) thermoformée(s) PVC-Aluminium de 180 gélule(s);1,02;;
3588117;film(s) thermosoudé(s) PVC polyéthylène de 30 suppositoire(s);1,02;;
5712834;5 flacon(s) en verre de 5 ml;1,02;520;520
3014303;plaquette(s) thermoformée(s) aluminium PVC-Aluminium OPA : polyamide orienté de 16 comprimé(s);1,02;520;520
3638401;28 seringue(s) préremplie(s) en verre de 1 ml;1,02;;
3024393;1 seringue préremplie en verre de 0,25 mL avec aiguille dans un stylo injecteur;1,02;520;520
3952830;plaquette(s) formée(s) à froid aluminium de 28 comprimé(s);1,02;;
3952876;plaquette(s) formée(s) à froid aluminium de 28 comprimé(s);1,02;;
3359055;1 flacon(s) en verre - 1 flacon(s) en verre de 1  ml;1,02;;
3020139;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);1,02;520;520
3019147;15 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 1 ml;1,02;520;520
3019148;30 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 1 ml;1,02;520;520
5841856;1 flacon(s) en verre de 4 ml;1,02;520;520
5841879;1 flacon(s) en verre de 8 ml;1,02;520;520
2194178;plaquette(s) PVC-Aluminium de 16 gélule(s);1,02;;
3172463;plaquette(s) PVC-Aluminium de 50 comprimé(s);1,02;;
4900384;1 flacon(s) en verre de 4 ml - 1 ampoule(s) en verre de 2 ml avec seringue(s) avec aiguille(s);1,02;;
2745968;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s);1,02;;
3847197;plaquette(s) PVC polyéthylène PVDC aluminium de 28 gélule(s);1,02;;
3392615;1 tube(s) aluminium verni de 100 g;1,02;520;520
2180101;plaquette(s) PVC PVDC aluminium de 12 capsule(s);1,02;520;520
3867403;plaquette(s) aluminium de 30 comprimé(s);1,02;;
3867432;plaquette(s) aluminium de 90 comprimé(s);2,76;;
3477889;plaquette(s) PVC aluminium de 30 comprimé(s);1,02;520;520
3993384;plaquette(s) PVC aluminium de 15 comprimé(s);1,02;520;520
2665643;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);1,02;;
3261304;1 flacon(s) polyéthylène haute densité (PEHD) de 20 ml;1,02;;
3606163;film(s) thermosoudé(s) aluminium polyéthylène de 16 comprimé(s);1,02;;
3606186;film(s) thermosoudé(s) aluminium polyéthylène de 24 comprimé(s);1,02;;
3290458;1 flacon(s) compte-gouttes polyéthylène de 3  ml;1,02;;
3023425;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 6 comprimé(s);1,02;;
3023426;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 14 comprimé(s);1,02;;
3779248;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);1,02;;
5506197;5 ampoules en verre de 10 mL;1,02;520;520
5838363;1 seringue(s) préremplie(s) en verre de 250 UI  avec matériel(s) de perfusion avec tampon(s) alcoolisé(s) avec pansement(s);1,02;520;520
2190341;3 plaquette(s) PVC PVDC aluminium de 21 comprimé(s);1,02;520;520
3020769;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1,02;;
3020770;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);1,02;;
3392762;1 flacon(s) en verre brun de 14 ml;1,02;520;520
3350249;1 flacon(s) PVC de 45 gélule(s);1,02;520;520
3350255;1 flacon(s) PVC de 150 gélule(s);1,02;520;520
3006896;plaquette(s) PVC PVDC aluminium de 14 gélule(s);1,02;;
3749891;plaquette(s) PVC-Aluminium de 28 comprimé(s);1,02;;
3514923;plaquette(s) polypropylène aluminium de 30 comprimé(s);1,02;;
4900278;plaquette(s) thermoformée(s) PVC-Aluminium de 28 gélule(s);1,02;;
3007616;tube aluminium verni de 15 g;1,02;;
3695994;20 ampoule(s) polypropylène de 10 ml;1,02;520;520
3696019;20 ampoule(s) polypropylène de 20 ml;1,02;520;520
3831575;20 flacon(s) polyéthylène de 250 ml;1,02;520;520
3831606;10 flacon(s) polyéthylène de 500 ml;1,02;520;520
3011875;30 plaquette(s) thermoformée(s) aluminium de 1 comprimé(s)(dose unitaire);1,02;;
3867484;plaquette(s) PVC PVDC aluminium de 50 comprimé(s);1,02;520;520
3593124;plaquette(s) thermoformée(s) PVC-Aluminium de 35 comprimé(s);1,02;;
3017384;1 flacon polytéréphtalate (PET) avec fermeture de sécurité enfant de 50 mL avec seringue graduée en kg de 10 mL.;1,02;520;520
3017385;1 flacon(s) polytéréphtalate (PET) avec fermeture de sécurité enfant de 180 ml avec seringue(s) doseuse(s);1,02;520;520
3674532;plaquette(s) aluminium de 28 comprimé(s);1,02;;
3014723;plaquette(s) formée(s) à froid OPA : polyamide orienté aluminium PVC-Aluminium de 30 comprimé(s);1,02;;
3014725;plaquette(s) formée(s) à froid OPA : polyamide orienté aluminium PVC-Aluminium de 90 comprimé(s);2,76;;
3747165;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);1,02;;
3747194;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);2,76;;
2680890;1 pilulier(s) polypropylène de 30 comprimé(s);1,02;;
2680915;3 pilulier(s) polypropylène de 30 comprimé(s);2,76;;
3025897;plaquette(s) PVC-Aluminium de 30 comprimé(s);1,02;;
3387666;plaquette(s) thermoformée(s) PVC-aluminium de 30  comprimé(s);1,02;;
3790959;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);1,02;;
5726902;1 flacon(s) polypropylène de 2 mL;1,02;520;520
5726919;1 flacon(s) polypropylène de 5 mL;1,02;520;520
5726925;1 flacon(s) polypropylène de 15 mL;1,02;520;520
2231399;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1,02;;
2231459;plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);2,76;;
3020857;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);1,02;;
3008552;90 sachet(s) polytéréphtalate (PET) polyéthylène basse densité (PEBD) aluminium;1,02;;
3920103;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);1,02;;
3661860;1 tube(s) aluminium de 60 g;1,02;520;520
3676413;1 tube(s) doseur polypropylène de 120 g;1,02;520;520
5621787;1 flacon(s) en verre de 10  ml;1,02;520;520
3021840;plaquette(s) aluminium OPA : polyamide orienté PVC-Aluminium de 30 comprimé(s);1,02;;
3021841;plaquette(s) aluminium OPA : polyamide orienté PVC-Aluminium de 90 comprimé(s);2,76;;
2245711;plaquette(s) aluminium de 30 comprimé(s);1,02;;
3016419;plaquette(s) PVC-Aluminium de 25 comprimé(s);1,02;;
3018782;50 plaquette(s) unitaires prédécoupées PVC-Aluminium de 1 comprimé(s);1,02;520;520
3612353;1 tube(s) aluminium de 10  g;1,02;520;520
2760382;28 plaquette(s) polyamide aluminium PVC de 1 comprimé(s);1,02;;
3008409;2 plaquette(s) thermoformée(s) PVC PVDC aluminium de 20 comprimé(s);1,02;520;520
3011083;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);1,02;;
3003118;plaquette(s) PVC polyéthylène PVDC aluminium de 30 capsule(s);1,02;520;520
3016539;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1,02;;
3659573;plaquette(s) aluminium PVC PVDC de 30 comprimé(s);1,02;;
3002036;1 stylo prérempli de 0,35 ml avec seringue(s) en verre avec aiguille(s) avec tampon(s) alcoolisé(s);1,02;;
3812112;1 flacon(s) pressurisé(s) aluminium de 120 dose(s) avec valve(s) doseuse(s) avec inhalateur(s) en plastique polypropylène;1,02;;
3778272;1 flacon(s) polyéthylène haute densité (PEHD) de 125 ml;1,02;520;520
3778289;1 flacon(s) polyéthylène haute densité (PEHD) de 250 ml;1,02;520;520
3053155;1 tube(s) aluminium de 50 g;1,02;520;520
3647765;plaquette(s) PVC PVDC aluminium de 20 comprimé(s);1,02;520;520
3647788;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);1,02;520;520
3964508;plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s);1,02;;
3964566;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);2,76;;
2788759;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1,02;;
3793283;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s);1,02;;
5773899;5 ampoule(s) polypropylène suremballée(s)/surpochée(s) de 10 ml;1,02;520;520
5773965;5 ampoule(s) polypropylène suremballée(s)/surpochée(s) de 20 ml;1,02;520;520
3702381;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 300 ml avec seringue(s) doseuse(s) de 10 ml;1,02;;
3982759;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 150 ml avec seringue(s) doseuse(s) de 3 ml;1,02;;
3982765;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 150 ml avec seringue(s) doseuse(s) de 1 ml;1,02;;
3319624;plaquette(s) PVC polyéthylène de 10 suppositoire(s);1,02;520;520
5580114;5 flacon(s) en verre brun de 20 ml;1,02;520;520
4155805;plaquette(s) PVC-Aluminium de 12 comprimé(s);1,02;;
3718620;plaquette(s) PVC polyéthylène PVDC aluminium de 30 gélule(s);1,02;;
3592202;1 flacon(s) polyéthylène basse densité (PEBD) de 3  ml;1,02;;
4950008;1 flacon(s) polyéthylène basse densité (PEBD) de 3 ml(Distributeur parallèle : Pharma Lab);1,02;;
3002365;plaquette(s) aluminium de 28 comprimé(s);1,02;;
3024526;1 flacon(s) en verre de 20 ml;1,02;520;520
3001652;plaquette(s) PVC PVDC aluminium de 10 gélule(s);1,02;520;520
2785117;plaquette(s) polyamide aluminium PVC-Aluminium de 14 comprimé(s);1,02;;
2785146;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);1,02;;
3008442;1 flacon(s) en verre de 50 mg;1,02;520;520
3002699;plaquette(s) OPA : polyamide orienté aluminium PVC de 28 comprimé(s);1,02;;
3017088;plaquettes transparentes PVC aluminium de 28 comprimés;1,02;;
3863380;plaquette(s) formée(s) à froid polyamide aluminium PVC de 30 comprimé(s);1,02;;
3863411;plaquette(s) formée(s) à froid polyamide aluminium PVC de 90 comprimé(s);2,76;;
3011153;plaquette(s) aluminium OPA : polyamide orienté PVC de 30 comprimé(s);1,02;;
2802011;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 28 comprimé(s);1,02;;
3941683;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);2,76;;
3946829;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1,02;;
3907232;plaquette(s) polyamide aluminium PVC de 14 comprimé(s);1,02;;
3907255;plaquette(s) polyamide aluminium PVC de 28 comprimé(s);1,02;;
3971537;1 flacon(s) en verre de 1,2 ml;1,02;520;520
3022131;6 flacon(s) polyéthylène haute densité (PEHD) de 15 comprimé(s) (conditionnement multiple de 90 comprimés);1,02;;
5758434;12 seringue(s) préremplie(s) polypropylène de 10 ml;1,02;520;520
3009566;1 flacon(s) en verre avec fermeture de sécurité enfant de 25 ml;1,02;520;520
3009567;1 flacon(s) en verre avec fermeture de sécurité enfant de 25 ml + 7 (1 ml) seringues pour administration orale;1,02;520;520
3009568;1 flacon(s) en verre avec fermeture de sécurité enfant de 25 ml + 7 (3 ml) seringues pour administration orale;1,02;520;520
3009569;1 flacon(s) en verre avec fermeture de sécurité enfant de 25 ml + 7 (5 ml) seringues pour administration orale;1,02;520;520
2179121;1 flacon(s);1,02;520;520
2667441;plaquette(s) formée(s) à froid polyamide aluminium PVC papier polytéréphtalate (PET) de 28 comprimé(s);1,02;520;520
3021987;1 flacon(s) en verre de 3 ml avec seringue(s) avec adaptateur(s) pour flacon avec aiguille(s);1,02;;
4900024;plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);1,02;;
4902001;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);1,02;;
2764902;plaquette(s) PVC polyéthylène PVDC aluminium de 56 comprimé(s);1,02;520;520
3008215;plaquette(s) PVC PVDC aluminium de 6 comprimé(s);1,02;;
3008218;plaquette(s) PVC PVDC aluminium de 14 comprimé(s);1,02;;
3617988;plaquette(s) PVC PVDC aluminium de 10 comprimé(s);1,02;;
5504887;10 ampoule(s) en verre de 5 mL;1,02;520;520
2672146;2 plaquette(s) PVC PVDC aluminium de 10 comprimé(s);1,02;;
3476045;1 seringue(s) préremplie(s) en verre de 0,5 ml;1,02;;
3010967;1 ampoule(s) en verre de 1 ml;1,02;;
5661189;1 flacon(s) en verre - 1 flacon(s) en verre de 100 mL avec capsules de protection composé avec seringue(s) de 30 mL avec 2 aiguille(s) filtre(s) et de deux prises d’air;1,02;520;520
5793761;1 flacon(s) en verre - 1 flacon(s) en verre de 120 mL avec dispositif(s) de transfert avec filtre(s) avec matériel(s) de perfusion muni d'un filtre;1,02;520;520
