idGroupeGenerique;libelleGroupeGenerique
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
17;PHLOROGLUCINOL (HYDRATE) 80 mg - SPASFON LYOC 80 mg, lyophilisat oral.
18;MEBEVERINE (CHLORHYDRATE DE) 100 mg - DUSPATALIN 100 mg, comprimé enrobé
18;MEBEVERINE (CHLORHYDRATE DE) 100 mg - DUSPATALIN 100 mg, comprimé enrobé
19;MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule
19;MEBEVERINE (CHLORHYDRATE DE) 200 mg - DUSPATALIN 200 mg, gélule
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
21;TRIMEBUTINE (MALEATE DE) 100 mg - DEBRIDAT 100 mg, comprimé pelliculé
22;METOCLOPRAMIDE (CHLORHYDRATE DE) 10 mg - PRIMPERAN 10 mg, comprimé sécable
22;METOCLOPRAMIDE (CHLORHYDRATE DE) 10 mg - PRIMPERAN 10 mg, comprimé sécable
22;METOCLOPRAMIDE (CHLORHYDRATE DE) 10 mg - PRIMPERAN 10 mg, comprimé sécable
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
23;DOMPERIDONE 10 mg - MOTILIUM 10 mg, comprimé pelliculé - PERIDYS 10 mg, comprimé pelliculé.
25;LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon.
25;LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon.
25;LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon.
25;LACTULOSE 66,5 % (concentration exprimée en m/v) - DUPHALAC 66,5 POUR CENT, solution buvable en flacon.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
26;LACTULOSE 10 g - DUPHALAC 10 g/15 ml, solution buvable en sachet.
27;NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable.
27;NIFUROXAZIDE 4 % - ERCEFURYL 4 POUR CENT, suspension buvable.
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
28;NIFUROXAZIDE 200 mg - NIFUROXAZIDE SANOFI-AVENTIS 200 mg, gélule - ERCEFURYL 200 mg, gelule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
29;LOPERAMIDE (CHLORHYDRATE DE) 2 mg - IMODIUM 2 mg, gélule - IMODIUMCAPS 2 mg, gélule
30;CROMOGLICATE DE SODIUM 100 mg/5 ml - NALCRON, solution buvable en ampoule.
30;CROMOGLICATE DE SODIUM 100 mg/5 ml - NALCRON, solution buvable en ampoule.
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
31;METFORMINE (CHLORHYDRATE DE) 500 mg - GLUCOPHAGE 500 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
32;METFORMINE (CHLORHYDRATE DE) 850 mg - GLUCOPHAGE 850 mg, comprimé pelliculé
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
33;METFORMINE (CHLORHYDRATE DE) 1000 mg - GLUCOPHAGE 1000 mg, comprimé pelliculé sécable.
34;GLIPIZIDE 5 mg - GLIBENESE 5 mg, comprimé sécable - MINIDIAB 5 mg, comprimé sécable
34;GLIPIZIDE 5 mg - GLIBENESE 5 mg, comprimé sécable - MINIDIAB 5 mg, comprimé sécable
34;GLIPIZIDE 5 mg - GLIBENESE 5 mg, comprimé sécable - MINIDIAB 5 mg, comprimé sécable
35;GLICLAZIDE 80 mg - DIAMICRON 80 mg, comprimé sécable
35;GLICLAZIDE 80 mg - DIAMICRON 80 mg, comprimé sécable
35;GLICLAZIDE 80 mg - DIAMICRON 80 mg, comprimé sécable
35;GLICLAZIDE 80 mg - DIAMICRON 80 mg, comprimé sécable
35;GLICLAZIDE 80 mg - DIAMICRON 80 mg, comprimé sécable
36;TICLOPIDINE (CHLORHYDRATE DE) 250 mg - TICLID 250 mg, comprimé pelliculé
36;TICLOPIDINE (CHLORHYDRATE DE) 250 mg - TICLID 250 mg, comprimé pelliculé
36;TICLOPIDINE (CHLORHYDRATE DE) 250 mg - TICLID 250 mg, comprimé pelliculé
38;ACIDE TRANEXAMIQUE 500 mg - EXACYL 500 mg, comprimé pelliculé
38;ACIDE TRANEXAMIQUE 500 mg - EXACYL 500 mg, comprimé pelliculé
39;ACIDE TRANEXAMIQUE 1g/10 ml - EXACYL 1 g/10 ml, solution buvable.
39;ACIDE TRANEXAMIQUE 1g/10 ml - EXACYL 1 g/10 ml, solution buvable.
40;ACIDE FOLIQUE 5 mg - SPECIAFOLDINE 5 mg, comprimé.
40;ACIDE FOLIQUE 5 mg - SPECIAFOLDINE 5 mg, comprimé.
40;ACIDE FOLIQUE 5 mg - SPECIAFOLDINE 5 mg, comprimé.
40;ACIDE FOLIQUE 5 mg - SPECIAFOLDINE 5 mg, comprimé.
42;FLECAINIDE (ACETATE DE) 100 mg - FLECAINE 100 mg, comprimé sécable
42;FLECAINIDE (ACETATE DE) 100 mg - FLECAINE 100 mg, comprimé sécable
