CodeCIS	Denomination	FormePharmaceutique	VoiesAdministration
60386663	ABELMOSCHUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60538772	ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
65698396	ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
63075735	ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
69985792	ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
62425595	ABIES PECTINATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  solution en gouttes en gouttes	"orale;sublinguale"
64055988	ABILIFY 1 mg/mL, solution buvable	solution buvable	orale
65198099	ABILIFY 10 mg, comprimé	comprimé	orale
61815891	ABILIFY 10 mg, comprimé orodispersible	comprimé orodispersible	orale
64224801	ABILIFY 15 mg, comprimé	comprimé	orale
66791654	ABILIFY 15 mg, comprimé orodispersible	comprimé orodispersible	orale
60599533	ABILIFY 5 mg, comprimé	comprimé	orale
69641873	ABILIFY 7,5 mg/ml, solution injectable	solution injectable	intramusculaire
68729480	ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire
66706942	ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire
60621442	ABIRATERONE ACCORD 500 mg, comprimé pelliculé	comprimé pelliculé	orale
65412934	ABIRATERONE BIOGARAN 500 mg, comprimé pelliculé	comprimé pelliculé	orale
61760740	ABIRATERONE EG 500 mg, comprimé pelliculé	comprimé pelliculé	orale
66460184	ABIRATERONE EVOLUGEN 500 mg, comprimé pelliculé	comprimé pelliculé	orale
68478448	ABIRATERONE KRKA 500 mg, comprimé pelliculé	comprimé pelliculé	orale
62375509	ABIRATERONE MYLAN 500 mg, comprimé pelliculé	comprimé pelliculé	orale
67365440	ABIRATERONE SANDOZ 500 mg, comprimé pelliculé	comprimé pelliculé	orale
63001674	ABIRATERONE TEVA 500 mg, comprimé pelliculé	comprimé pelliculé	orale
65665802	ABIRATERONE ZENTIVA 500 mg, comprimé pelliculé	comprimé pelliculé	orale
68739019	ABRAXANE 5 mg/ml, poudre pour suspension injectable pour perfusion	poudre pour suspension injectable pour perfusion	intraveineuse
62082709	ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
67871676	ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
62024766	ABROTANUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  crème et  solution en gouttes en gouttes	"cutanée;orale;sublinguale"
64457435	ABSINTHIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60612094	ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
68336954	ABSTRAL 100 microgrammes, comprimé sublingual	comprimé	sublinguale
67144513	ABSTRAL 200 microgrammes, comprimé sublingual	comprimé	sublinguale
61464150	ABSTRAL 300 microgrammes, comprimé sublingual	comprimé	sublinguale
60282999	ABSTRAL 400 microgrammes, comprimé sublingual	comprimé	sublinguale
63451714	ABSTRAL 600 microgrammes, comprimé sublingual	comprimé	sublinguale
61578296	ABSTRAL 800 microgrammes, comprimé sublingual	comprimé	sublinguale
64728712	ABUFENE 400 mg, comprimé	comprimé	orale
62963238	ACALYPHA INDICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
69724187	ACAMPROSATE BIOGARAN 333 mg, comprimé pelliculé gastro-résistant	comprimé pelliculé gastro-résistant(e)	orale
60929194	ACAMPROSATE MYLAN 333 mg, comprimé enrobé gastro-résistant	comprimé enrobé gastro-résistant(e)	orale
68371745	ACARBOSE ARROW LAB 100 mg, comprimé	comprimé	orale
63958735	ACARBOSE ARROW LAB 50 mg, comprimé	comprimé	orale
64127672	ACARBOSE BIOGARAN 100 mg, comprimé sécable	comprimé	orale
69116854	ACARBOSE BIOGARAN 50 mg, comprimé	comprimé	orale
65803331	ACARBOSE EG 100 mg, comprimé	comprimé	orale
61937888	ACARBOSE EG 50 mg, comprimé	comprimé	orale
60946941	ACARBOSE MYLAN 100 mg, comprimé sécable	comprimé sécable	orale
60989978	ACARBOSE MYLAN 50 mg, comprimé	comprimé	orale
67093136	ACARBOSE SANDOZ 100 mg, comprimé	comprimé	orale
69771614	ACARBOSE SANDOZ 50 mg, comprimé	comprimé	orale
67901945	ACARBOSE ZENTIVA 100 mg, comprimé sécable	comprimé	orale
64493666	ACARBOSE ZENTIVA 50 mg, comprimé	comprimé	orale
67813445	ACARIZAX 12 SQ-HDM, lyophilisat oral	lyophilisat	sublinguale
61823354	ACCOFIL 12 MU/0,2 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	"intraveineuse;sous-cutanée"
68056062	ACCOFIL 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	"intraveineuse;sous-cutanée"
60812344	ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	"intraveineuse;sous-cutanée"
63909873	ACCOFIL 70 MU/0,73 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	"intraveineuse;sous-cutanée"
67627711	ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration	solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration	"hémodialyse;hémofiltration;voie extracorporelle autre"
61278936	ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration	solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration	"hémodialyse;hémofiltration"
69430342	ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration	solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration	"hémodialyse;hémofiltration"
63880820	ACEBUTOLOL ALMUS 200 mg, comprimé pelliculé	comprimé pelliculé	orale
66904792	ACEBUTOLOL ARROW 200 mg, comprimé pelliculé	comprimé pelliculé	orale
62096139	ACEBUTOLOL ARROW 400 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
63661520	ACEBUTOLOL ARROW LAB 200 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
68167148	ACEBUTOLOL ARROW LAB 400 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
65637614	ACEBUTOLOL BIOGARAN 200 mg, comprimé pelliculé	comprimé pelliculé	orale
60281598	ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé	comprimé pelliculé	orale
64021217	ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé	comprimé pelliculé	orale
67787559	ACEBUTOLOL CRISTERS 400 mg, comprimé pelliculé	comprimé pelliculé	orale
69461099	ACEBUTOLOL EG 200 mg, comprimé pelliculé	comprimé pelliculé	orale
63874155	ACEBUTOLOL EG 400 mg, comprimé pelliculé	comprimé pelliculé	orale
65521830	ACEBUTOLOL RANBAXY 200 mg, comprimé pelliculé	comprimé pelliculé	orale
67470053	ACEBUTOLOL RANBAXY 400 mg, comprimé pelliculé	comprimé pelliculé	orale
62101141	ACEBUTOLOL RATIOPHARM 400 mg, comprimé enrobé	comprimé enrobé	orale
64304820	ACEBUTOLOL SANDOZ 200 mg, comprimé enrobé	comprimé enrobé	orale
67050875	ACEBUTOLOL SANDOZ 400 mg, comprimé enrobé	comprimé enrobé	orale
64847741	ACEBUTOLOL TEVA 200 mg, comprimé pelliculé	comprimé pelliculé	orale
62604153	ACEBUTOLOL TEVA 400 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
67771398	ACEBUTOLOL VIATRIS 200 mg, comprimé pelliculé	comprimé pelliculé	orale
62500717	ACEBUTOLOL VIATRIS 400 mg, comprimé pelliculé	comprimé pelliculé	orale
69877717	ACEBUTOLOL ZENTIVA 200 mg, comprimé pelliculé	comprimé pelliculé	orale
65842957	ACEBUTOLOL ZENTIVA 400 mg, comprimé pelliculé	comprimé pelliculé	orale
60477038	ACEBUTOLOL ZYDUS 200 mg, comprimé pelliculé	comprimé pelliculé	orale
63151492	ACEBUTOLOL ZYDUS 400 mg, comprimé pelliculé	comprimé pelliculé	orale
68600724	ACECLOFENAC ACCORD 100 mg, comprimé pelliculé	comprimé pelliculé	orale
64130871	ACECLOFENAC BIOGARAN 100 mg, comprimé pelliculé	comprimé pelliculé	orale
61003712	ACECLOFENAC EG 100 mg, comprimé pelliculé	comprimé pelliculé	orale
64937530	ACECLOFENAC EG LABO 100 mg, comprimé pelliculé	comprimé pelliculé	orale
63092688	ACECLOFENAC MYLAN 100 mg, comprimé pelliculé	comprimé pelliculé	orale
67238724	ACETANILIDUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
65900339	ACETATE DE CYPROTERONE ARROW 100 mg, comprimé sécable	comprimé sécable	orale
67552319	ACETATE DE CYPROTERONE ARROW 50 mg, comprimé sécable	comprimé sécable	orale
60899178	ACETATE DE CYPROTERONE EG 100 mg, comprimé sécable	comprimé sécable	orale
67588728	ACETATE DE CYPROTERONE EG 50 mg, comprimé sécable	comprimé sécable	orale
65230796	ACETATE DE CYPROTERONE SANDOZ 100 mg, comprimé sécable	comprimé sécable	orale
60406938	ACETATE DE CYPROTERONE SANDOZ 50 mg, comprimé sécable	comprimé sécable	orale
67443608	ACETATE DE CYPROTERONE TEVA 100 mg, comprimé sécable	comprimé sécable	orale
63455260	ACETATE DE CYPROTERONE TEVA 50 mg, comprimé	comprimé	orale
69243168	ACETATE DE TERLIPRESSINE EVER PHARMA 0,2 mg/ml, solution injectable	solution injectable	intraveineuse
69773711	ACETICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
68976484	ACETICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
66767379	ACETONUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
69148542	ACETYLCYSTEINE ARROW 200 mg, comprimé effervescent	comprimé effervescent(e)	orale
69205527	ACETYLCYSTEINE BGR CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
66398010	ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, comprimé effervescent	comprimé effervescent(e)	orale
62784356	ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, poudre pour solution buvable en sachet	poudre pour solution buvable	orale
68043798	ACETYLCYSTEINE EG 200 mg, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
69896678	ACETYLCYSTEINE EG LABO CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
67494823	ACETYLCYSTEINE SANDOZ CONSEIL 200 mg, granulés pour solution buvable en sachet-dose	granulés pour solution buvable	orale
67657188	ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
63976701	ACETYLCYSTEINE TEVA CONSEIL 200 mg, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
65483582	ACETYLCYSTEINE VIATRIS CONSEIL 200 mg, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
62887979	ACETYLLEUCINE BIOGARAN 500 mg, comprimé	comprimé	orale
65897327	ACETYLLEUCINE TEVA 500 mg, comprimé	comprimé	orale
61920248	ACETYLLEUCINE VIATRIS 500 mg, comprimé	comprimé	orale
65372144	ACETYLLEUCINE ZENTIVA 500 mg, comprimé	comprimé	orale
68401067	ACICLOVIR AGEPHA 30 mg/g, pommade ophtalmique	pommade	ophtalmique
61683272	ACICLOVIR ALMUS 200 mg, comprimé	comprimé	orale
62022480	ACICLOVIR ALMUS 5 %, crème	crème	cutanée
68888917	ACICLOVIR ARROW 200 mg, comprimé	comprimé	orale
67363642	ACICLOVIR ARROW 5 %, crème	crème	cutanée
60111197	ACICLOVIR ARROW 800 mg, comprimé	comprimé	orale
64858307	ACICLOVIR ARROW CONSEIL 5 %, crème	crème	cutanée
63299690	ACICLOVIR ARROW GENERIQUES 200 mg, comprimé	comprimé	orale
62485208	ACICLOVIR BIOGARAN 200 mg, comprimé	comprimé	orale
68303445	ACICLOVIR BIOGARAN 5 %, crème	crème	cutanée
62970791	ACICLOVIR BIOGARAN 800 mg, comprimé	comprimé	orale
68102563	ACICLOVIR BIOGARAN CONSEIL 5 %, crème	crème	cutanée
69175190	ACICLOVIR CRISTERS 200 mg, comprimé	comprimé	orale
67344332	ACICLOVIR CRISTERS 5 %, crème	crème	cutanée
62945806	ACICLOVIR CRISTERS 800 mg, comprimé	comprimé	orale
61938584	ACICLOVIR CRISTERS CONSEIL 5 %, crème	crème	cutanée
60418673	ACICLOVIR EG 200 mg, comprimé	comprimé	orale
62891447	ACICLOVIR EG 5 POUR CENT, crème	crème	cutanée
64776881	ACICLOVIR EG 800 mg, comprimé	comprimé	orale
61754342	ACICLOVIR HIKMA 250 mg, poudre pour solution pour perfusion	poudre pour solution injectable	intraveineuse
69116587	ACICLOVIR HIKMA 500 mg, poudre pour solution pour perfusion	poudre pour solution injectable	intraveineuse
64264557	ACICLOVIR RANBAXY 200 mg, comprimé	comprimé	orale
64743867	ACICLOVIR RPG 5 %, crème	crème	cutanée
62566877	ACICLOVIR SANDOZ 200 mg, comprimé	comprimé	orale
68887509	ACICLOVIR SANDOZ 5 %, crème	crème	cutanée
60799637	ACICLOVIR SANDOZ CONSEIL 5 %, crème	crème	cutanée
68560639	ACICLOVIR TEVA 200 mg, comprimé	comprimé	orale
60311803	ACICLOVIR TEVA 5 %, crème	crème	cutanée
66086740	ACICLOVIR TEVA 800 mg, comprimé	comprimé	orale
68474955	ACICLOVIR TEVA SANTE 5 %, crème	crème	cutanée
67720806	ACICLOVIR VIATRIS 200 mg, comprimé	comprimé	orale
69258501	ACICLOVIR VIATRIS 250 mg, poudre pour solution injectable (IV)	poudre pour solution injectable	intraveineuse
60126377	ACICLOVIR VIATRIS 5 %, crème	crème	cutanée
60890745	ACICLOVIR VIATRIS 500 mg, poudre pour solution injectable (IV)	poudre pour solution injectable	intraveineuse
67260521	ACICLOVIR VIATRIS 800 mg, comprimé	comprimé	orale
69540696	ACICLOVIR VIATRIS CONSEIL 5 %, crème	crème	cutanée
64855318	ACICLOVIR ZENTIVA 200 mg, comprimé	comprimé	orale
64941728	ACICLOVIR ZENTIVA 5 %, crème	crème	cutanée
60964409	ACICLOVIR ZENTIVA 800 mg, comprimé	comprimé	orale
69180611	ACICLOVIR ZYDUS 200 mg, comprimé	comprimé	orale
66005293	ACICLOVIR ZYDUS 5 %, crème	crème	cutanée
68881730	ACIDE ACETYLSALICYLIQUE VIATRIS 100 mg, comprimé gastro-résistant	comprimé gastro-résistant(e)	orale
66929906	ACIDE ACÉTYLSALICYLIQUE EG LABO CONSEIL 500 mg, comprimé	comprimé	orale
69784280	ACIDE ALENDRONIQUE ALTER 70 mg, comprimé pelliculé	comprimé pelliculé	orale
61838744	ACIDE ALENDRONIQUE ARROW 10 mg, comprimé	comprimé	orale
68157307	ACIDE ALENDRONIQUE ARROW 70 mg, comprimé	comprimé	orale
60365142	ACIDE ALENDRONIQUE ARROW LAB 70 mg, comprimé	comprimé	orale
63281774	ACIDE ALENDRONIQUE BIOGARAN 70 mg, comprimé	comprimé	orale
67464926	ACIDE ALENDRONIQUE CRISTERS 70 mg, comprimé	comprimé	orale
68229767	ACIDE ALENDRONIQUE EG 70 mg, comprimé	comprimé	orale
65701390	ACIDE ALENDRONIQUE EVOLUGEN 70 mg, comprimé	comprimé	orale
63174719	ACIDE ALENDRONIQUE MYLAN 70 mg, comprimé	comprimé	orale
65533900	ACIDE ALENDRONIQUE RANBAXY 70 mg, comprimé	comprimé	orale
67656556	ACIDE ALENDRONIQUE SANDOZ 70 mg, comprimé	comprimé	orale
68659822	ACIDE ALENDRONIQUE TEVA SANTE 70 mg, comprimé	comprimé	orale
63525488	ACIDE ALENDRONIQUE ZENTIVA 70 mg, comprimé	comprimé	orale
64272874	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/2800 UI, comprimé	comprimé	orale
63001941	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/5600 UI, comprimé	comprimé	orale
65035846	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/2800 UI, comprimé	comprimé	orale
69242155	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI, comprimé	comprimé	orale
60934017	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/2800 UI, comprimé	comprimé	orale
66407096	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/5600 UI, comprimé	comprimé	orale
62300481	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI, comprimé	comprimé	orale
62999597	ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI, comprimé	comprimé	orale
63278319	ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/2 800 UI, comprimé	comprimé	orale
64079238	ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/5 600 UI, comprimé	comprimé	orale
66407826	ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/2800 UI, comprimé	comprimé	orale
68265101	ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/5600 UI, comprimé	comprimé	orale
60648756	ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/2800 UI, comprimé	comprimé	orale
65079554	ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/5600 UI, comprimé	comprimé	orale
65383557	ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/2800 UI, comprimé	comprimé	orale
60796566	ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/5 600 UI, comprimé	comprimé	orale
63469032	ACIDE ALENDRONIQUE/VITD3 SANDOZ 70 mg/5600 UI, comprimé	comprimé	orale
63501366	ACIDE CARGLUMIQUE WAYMADE 200 mg, comprimé dispersible	comprimé dispersible	orale
67320915	ACIDE FOLIQUE ARROW 5 mg, comprimé	comprimé	orale
68502917	ACIDE FOLIQUE CCD 0,4 mg, comprimé	comprimé	orale
69448600	ACIDE FOLIQUE CCD 5 mg, comprimé	comprimé	orale
69661235	ACIDE FOLIQUE VIATRIS 5 mg, comprimé	comprimé	orale
68762562	ACIDE FUSIDIQUE ARROW 2 %, crème	crème	cutanée
67676765	ACIDE FUSIDIQUE BGR 2 %, crème	crème	cutanée
64944927	ACIDE FUSIDIQUE EG 2 %, crème	crème	cutanée
64108825	ACIDE FUSIDIQUE SANDOZ 2 %, crème	crème	cutanée
66343989	ACIDE FUSIDIQUE VIATRIS 2 %, crème	crème	cutanée
63861752	ACIDE FUSIDIQUE ZENTIVA 2 %, crème	crème	cutanée
65427676	ACIDE GADOTERIQUE GUERBET 0,5 mmol/mL, solution injectable	solution injectable	intraveineuse
64913426	ACIDE GADOTERIQUE GUERBET 0,5 mmol/mL, solution injectable en seringue pré-remplie	solution injectable	intraveineuse
61884211	ACIDE TIAPROFENIQUE ARROW 100 mg, comprimé sécable	comprimé sécable	orale
67587398	ACIDE TIAPROFENIQUE EG 100 mg, comprimé sécable	comprimé sécable	orale
62714607	ACIDE TIAPROFENIQUE ZENTIVA 100 mg, comprimé sécable	comprimé sécable	orale
63520847	ACIDE TRANEXAMIQUE ACCORD 0,5 g/5 mL, solution injectable	solution injectable	intraveineuse
64314490	ACIDE TRANEXAMIQUE AGUETTANT 0,5 g/5 mL, solution injectable	solution injectable	intraveineuse
64564711	ACIDE TRANEXAMIQUE ARROW 0,5 g/5 ml I.V., solution injectable	solution injectable	intraveineuse
60151843	ACIDE TRANEXAMIQUE MYLAN 0,5 g/ 5 mL, solution injectable	solution injectable	intraveineuse
68806603	ACIDE URSODESOXYCHOLIQUE ARROW 250 mg, comprimé pelliculé	comprimé pelliculé	orale
69307489	ACIDE URSODESOXYCHOLIQUE ARROW 500 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
60970141	ACIDE URSODESOXYCHOLIQUE BIOGARAN 250 mg, comprimé pelliculé	comprimé pelliculé	orale
61225182	ACIDE URSODESOXYCHOLIQUE BIOGARAN 500 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
60886120	ACIDE URSODESOXYCHOLIQUE SUBSTIPHARM 250 mg, comprimé pelliculé	comprimé pelliculé	orale
66438622	ACIDE URSODESOXYCHOLIQUE TEVA 250 mg, comprimé pelliculé	comprimé pelliculé	orale
62508863	ACIDE URSODESOXYCHOLIQUE TEVA 500 mg, c omprimé pelliculé sécable	comprimé pelliculé sécable	orale
62994066	ACIDE URSODESOXYCHOLIQUE VIATRIS 250 mg, comprimé pelliculé	comprimé pelliculé	orale
69846255	ACIDE URSODESOXYCHOLIQUE VIATRIS 500 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale
67519707	ACIDE ZOLEDRONIQUE ALTAN 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
66175242	ACIDE ZOLEDRONIQUE ALTAN 5 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
64410713	ACIDE ZOLEDRONIQUE BIOGARAN 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
69561021	ACIDE ZOLEDRONIQUE BIOGARAN 5 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
68737947	ACIDE ZOLEDRONIQUE HOSPIRA 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
60463323	ACIDE ZOLEDRONIQUE MEDAC 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
66902987	ACIDE ZOLEDRONIQUE MYLAN 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
68011537	ACIDE ZOLEDRONIQUE MYLAN 4 mg/5 ml, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
68480627	ACIDE ZOLEDRONIQUE MYLAN PHARMA 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
64044205	ACIDE ZOLEDRONIQUE SANDOZ 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
67182791	ACIDE ZOLEDRONIQUE SANDOZ 5 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
65063322	ACIDE ZOLEDRONIQUE VIATRIS 5 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
65148121	ACIDE ZOLEDRONIQUE ZENTIVA LAB 4 mg/100 ml, solution pour perfusion	solution pour perfusion	intraveineuse
64908596	ACIDRINE, comprimé à croquer	comprimé à croquer	orale
69636666	ACIDUM PHOSPHORICUM COMPLEXE N°5, solution buvable en gouttes	solution buvable en gouttes	sublinguale
68527678	ACIDUM PHOSPHORICUM COMPOSE	granules et  solution	"orale;sublinguale"
67306342	ACLASTA 5 mg, solution pour perfusion	solution pour perfusion	intraveineuse
60991573	ACLOTINE 100 UI/mL, poudre et solvant pour solution injectable	poudre et  solvant pour solution injectable	intraveineuse
67159166	ACODORON, solution injectable	solution injectable	sous-cutanée
61736892	ACONITUM FEROX BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
64692465	ACONITUM NAPELLUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
69203615	ACONITUM NAPELLUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
66506742	ACONITUM NAPELLUS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  crème et  solution en gouttes en gouttes	"cutanée;orale;sublinguale"
